coordinator	C	N
Zemilton	C	N
Silva	N	N
witnessed	C	N
this	N	N
happen	N	N
to	N	N
three	N	N
men	N	N
,	N	N
and	N	N
forensic	C	N
report	N	N
that	N	N
there	N	N
have	N	N
been	N	N
more	N	N
.	N	N
----------
After	N	N
repeatedly	C	C
trying	N	N
to	N	N
get	N	N
someone	N	N
to	N	N
come	N	N
to	N	N
the	N	N
door	N	N
,	N	N
officers	C	N
forced	N	N
their	N	N
way	N	N
into	N	N
the	N	N
house	N	N
.	N	N
----------
Here	N	N
,	N	N
police	N	N
say	N	N
,	N	N
they	N	N
were	N	N
met	N	N
by	N	N
gunfire	C	C
and	N	N
a	N	N
standoff	C	N
ensued	C	C
.	N	N
----------
Prison	C	N
authorities	C	C
said	N	N
that	N	N
some	N	N
victims	C	C
were	N	N
decapitated	C	C
.	N	N
----------
Reportedly	C	C
Conley	N	N
had	N	N
a	N	N
lengthy	C	C
history	N	N
of	N	N
violent	C	N
behavior	C	C
that	N	N
landed	C	C
him	N	N
in	N	N
prison	C	C
multiple	C	C
times	N	N
.	N	N
----------
At	N	N
least	N	N
26	N	N
killed	N	N
in	N	N
another	N	N
Brazil	N	N
prison	N	C
riot	C	C
In	N	N
the	N	N
latest	N	N
of	N	N
a	N	N
series	C	C
of	N	N
prison	C	N
riots	C	C
in	N	N
prisons	C	N
across	N	N
Brazil	N	N
,	N	N
dozens	C	N
of	N	N
inmates	C	N
,	N	N
mostly	N	N
rival	C	C
gangs	C	N
,	N	N
were	N	N
reported	N	N
dead	N	N
at	N	N
the	N	N
State	N	N
Penitentiary	C	N
of	N	N
Alcaçuz	C	N
,	N	N
a	N	N
state	N	N
prison	N	C
located	N	N
in	N	N
Natal	N	N
,	N	N
the	N	N
capital	C	N
of	N	N
the	N	N
Brazilian	C	N
state	N	N
,	N	N
Rio	N	N
Grande	N	C
do	N	N
Norte	C	N
.	N	N
----------
After	N	N
upwards	C	C
of	N	N
an	N	N
hour	N	N
,	N	N
with	N	N
the	N	N
house	N	N
surrounded	C	C
by	N	N
special	N	N
police	N	N
units	C	N
,	N	N
the	N	N
suspect	C	C
was	N	N
talked	N	N
out	N	N
of	N	N
the	N	N
house	N	N
.	N	N
----------
Manning	N	N
,	N	N
who	N	N
in	N	N
2010	N	N
released	C	C
thousands	C	N
of	N	N
classified	C	N
documents	N	N
to	N	N
the	N	N
public	N	N
through	N	N
WikiLeaks	C	C
detailing	C	N
abuses	C	N
of	N	N
the	N	N
Iraq	N	N
and	N	N
Afghanistan	C	N
wars	N	C
,	N	N
has	N	N
already	N	N
served	N	N
almost	N	N
seven	N	N
years	N	N
in	N	N
prison	C	N
and	N	N
is	N	N
now	N	N
scheduled	C	C
for	N	N
release	C	N
on	N	N
May	N	N
17	N	N
of	N	N
this	N	N
year	N	N
.	N	N
----------
The	N	N
government	N	N
says	N	N
the	N	N
dead	N	N
include	N	N
five	N	N
suicide	C	N
bombers	C	N
.	N	N
----------
Eight	N	C
people	N	N
found	N	N
slain	C	N
inside	N	N
Houston-area	N	N
home	N	N
Saturday	N	N
night	N	N
,	N	N
police	N	N
in	N	N
Houston	N	N
,	N	N
Texas	N	N
,	N	N
United	N	N
States	N	N
,	N	N
discovered	C	C
eight	N	N
people	N	N
killed	N	N
in	N	N
a	N	N
home	N	N
.	N	N
----------
According	C	N
to	N	N
the	N	N
BBC	N	N
,	N	N
this	N	N
figure	N	N
is	N	N
triple	C	N
the	N	N
initial	C	N
reports	N	N
.	N	N
----------
His	N	N
government	C	N
stands	C	N
accused	C	C
by	N	N
Human	N	N
Rights	N	N
Watch	N	N
of	N	N
not	N	N
taking	N	C
adequate	C	N
measures	N	N
to	N	N
protect	N	N
the	N	N
nation	N	N
's	N	N
citizens	C	C
.	N	N
----------
Around	N	N
21:00	N	C
local	N	N
time	N	N
,	N	N
Harris	N	N
County	N	N
Sheriff	N	N
's	N	N
Office	N	C
(	N	N
HSCO	N	N
)	N	N
deputies	C	N
arrived	N	C
at	N	N
the	N	N
home	N	N
on	N	N
a	N	N
welfare	C	C
check	C	C
.	N	N
----------
Obama	N	N
commutes	C	N
whistleblower	C	N
's	N	N
sentence	N	N
:	N	N
Chelsea	N	N
Manning	C	N
to	N	N
walk	N	N
free	N	N
in	N	N
120	N	N
days	N	N
Yesterday	N	N
,	N	N
mere	C	C
days	N	N
before	N	N
he	N	N
is	N	N
to	N	N
leave	N	N
office	N	N
,	N	N
U.S.	N	N
President	N	N
Barack	N	N
Obama	N	N
commuted	C	C
the	N	N
sentence	C	N
of	N	N
Army	N	N
intelligence	C	C
officer	N	C
Chelsea	N	N
Manning	N	N
from	N	N
35	N	N
years	N	N
to	N	N
time	N	N
served	N	N
.	N	N
----------
Six	N	N
of	N	N
the	N	N
victims	C	C
were	N	N
children	N	N
.	N	N
----------
Reports	N	N
vary	C	N
but	N	N
,	N	N
as	N	N
of	N	N
Sunday	N	N
,	N	N
the	N	N
death	N	N
toll	C	C
may	N	N
have	N	N
reached	N	C
26	N	C
.	N	N
----------
David	N	N
Conley	N	N
,	N	N
49	N	N
,	N	N
was	N	N
arrested	C	C
by	N	N
the	N	N
HSCO	C	N
and	N	N
subsequently	C	C
charged	N	N
with	N	N
the	N	N
crimes	N	C
.	N	N
----------
Al-Qaeda	N	N
in	N	N
the	N	N
Islamic	N	C
Maghreb	C	C
claimed	C	C
a	N	N
single	N	N
bomber	N	N
from	N	N
affiliate	C	C
group	N	N
al-Mourabitoun	C	C
conducted	C	C
the	N	N
attack	N	N
.	N	N
----------
In	N	N
the	N	N
last	N	N
two	N	N
months	N	N
,	N	N
Bayern	N	N
Munich	N	N
has	N	N
announced	C	C
Polish	N	N
striker	C	N
Robert	N	N
Lewandowski	C	N
signed	N	N
a	N	N
contract	C	N
extension	C	C
until	N	N
June	N	N
2021	N	N
and	N	N
French	N	N
winger	C	N
Franck	N	N
Ribéry	C	N
signed	N	N
a	N	N
one-year	N	C
contract	N	C
extension	C	C
with	N	N
the	N	N
club	N	N
.	N	N
----------
